Postcode_District,affordability
BS16,Can't buy can't rent
BS2,Can't buy can rent
BS20,Can't buy can rent
BS21,Can't buy can rent
BS22,Can't buy can rent
BS23,Can buy can rent
BS24,Can't buy can rent
BS25,Can't buy can rent
BS26,Can't buy can rent
BS27,Can't buy can rent
BS3,Can't buy can rent
BS30,Can't buy can rent
BS31,Can't buy can rent
BS32,Can't buy can rent
BS34,Can't buy can't rent
BS35,Can't buy can rent
BS36,Can't buy can't rent
BS37,Can't buy can rent
BS39,Can't buy can rent
BS4,Can't buy can rent
BS40,Can't buy can't rent
BS41,Can't buy can't rent
BS48,Can't buy can rent
BS49,Can't buy can rent
BS5,Can't buy can rent
BS6,Can't buy can't rent
BS7,Can't buy can't rent
BS8,Can't buy can't rent
BS9,Can't buy can't rent
CA1,Can buy can rent
CA10,Can't buy can rent
CA11,Can buy can rent
CA12,Can't buy can rent
CA13,Can buy can rent
CA14,Can buy can rent
CA15,Can buy can rent
CA16,Can buy can rent
CA17,Can't buy can rent
CA2,Can buy can rent
CA22,Can buy can rent
CA28,Can buy can rent
CA3,Can buy can rent
CA4,Can't buy can rent
CA5,Can't buy can rent
CA6,Can buy can rent
CA7,Can buy can rent
CA8,Can buy can rent
CB1,Can't buy can't rent
CB10,Can't buy can rent
CB11,Can't buy can rent
CB2,Can't buy can't rent
CB21,Can't buy can rent
CB22,Can't buy can rent
CB23,Can't buy can rent
CB24,Can't buy can rent
CB25,Can't buy can rent
CB3,Can't buy can't rent
CB4,Can't buy can rent
CB5,Can't buy can rent
CB6,Can't buy can rent
CB7,Can't buy can rent
CB8,Can't buy can rent
CB9,Can't buy can rent
CF10,Can buy can rent
CF11,Can buy can rent
CF14,Can't buy can rent
CF15,Can't buy can rent
CF23,Can't buy can rent
CF24,Can buy can't rent
CF3,Can buy can rent
CF31,Can buy can rent
CF32,Can buy can rent
CF33,Can buy can rent
CF34,Can buy can rent
CF35,Can't buy can rent
CF36,Can't buy can rent
CF37,Can buy can rent
CF38,Can buy can rent
CF39,Can buy can rent
CF40,Can buy can rent
CF41,Can buy can rent
CF42,Can buy can rent
CF43,Can buy can rent
CF44,Can buy can rent
CF45,Can buy can rent
CF46,Can buy can rent
CF47,Can buy can rent
CF48,Can buy can rent
CF5,Can't buy can rent
CF61,Can't buy can rent
CF62,Can't buy can rent
CF63,Can buy can rent
CF64,Can't buy can rent
CF71,Can't buy can rent
CF72,Can't buy can rent
CF81,Can buy can rent
CF82,Can buy can rent
CF83,Can buy can rent
CH1,Can buy can rent
CH2,Can't buy can rent
CH3,Can't buy can rent
CH4,Can't buy can rent
CH41,Can buy can rent
CH42,Can buy can rent
CH43,Can buy can rent
CH44,Can buy can rent
CH45,Can buy can rent
CH46,Can buy can rent
CH47,Can't buy can rent
CH48,Can't buy can rent
CH49,Can buy can rent
CH5,Can buy can rent
CH6,Can buy can rent
CH60,Can't buy can rent
CH61,Can't buy can rent
CH62,Can buy can rent
CH63,Can't buy can rent
CH64,Can't buy can rent
CH65,Can buy can rent
CH66,Can buy can rent
CH7,Can buy can rent
CH8,Can buy can rent
CM0,Can't buy can rent
CM1,Can't buy can rent
CM11,Can't buy can't rent
CM12,Can't buy can rent
CM13,Can't buy can rent
CM14,Can't buy can rent
CM15,Can't buy can't rent
CM16,Can't buy can't rent
CM17,Can't buy can rent
CM18,Can't buy can rent
CM19,Can't buy can rent
CM2,Can't buy can rent
CM20,Can't buy can rent
CM21,Can't buy can rent
CM22,Can't buy can't rent
CM23,Can't buy can rent
CM24,Can't buy can rent
CM3,Can't buy can rent
CM4,Can't buy can rent
CM5,Can't buy can't rent
CM6,Can't buy can rent
CM7,Can't buy can rent
CM77,Can't buy can rent
CM8,Can't buy can rent
CM9,Can't buy can rent
CO1,Can buy can rent
CO10,Can't buy can rent
CO11,Can't buy can rent
CO12,Can buy can rent
CO13,Can't buy can rent
CO14,Can buy can rent
CO15,Can buy can rent
CO16,Can't buy can rent
CO2,Can't buy can rent
CO3,Can't buy can rent
CO4,Can't buy can rent
CO5,Can't buy can rent
CO6,Can't buy can rent
CO7,Can't buy can rent
CO9,Can't buy can rent
CR0,Can't buy can rent
CR2,Can't buy can rent
CR3,Can't buy can rent
CR4,Can't buy can rent
CR5,Can't buy can rent
CR6,Can't buy can't rent
CR7,Can't buy can rent
CR8,Can't buy can rent
CT1,Can't buy can rent
CT10,Can't buy can rent
CT11,Can buy can rent
CT12,Can't buy can rent
CT13,Can't buy can rent
CT14,Can't buy can rent
CT15,Can't buy can rent
CT16,Can buy can rent
CT17,Can buy can rent
CT18,Can't buy can rent
CT19,Can buy can rent
CT2,Can't buy can rent
CT20,Can buy can rent
CT21,Can't buy can rent
CT3,Can't buy can rent
CT4,Can't buy can rent
CT5,Can't buy can rent
CT6,Can't buy can rent
CT7,Can't buy can rent
CT8,Can buy can rent
CT9,Can buy can rent
CV1,Can buy can rent
CV10,Can buy can rent
CV11,Can't buy can rent
CV12,Can buy can rent
CV13,Can't buy can rent
CV2,Can buy can rent
CV21,Can buy can rent
CV22,Can't buy can rent
CV23,Can't buy can rent
CV3,Can't buy can rent
CV31,Can't buy can't rent
CV32,Can't buy can rent
CV33,Can't buy can rent
CV34,Can't buy can rent
CV35,Can't buy can rent
CV36,Can't buy can rent
CV37,Can't buy can rent
CV4,Can buy can rent
CV47,Can't buy can rent
CV5,Can buy can rent
CV6,Can buy can rent
CV7,Can't buy can rent
CV8,Can't buy can rent
CV9,Can't buy can rent
CW1,Can buy can rent
CW10,Can buy can rent
CW11,Can't buy can rent
CW12,Can't buy can rent
CW2,Can buy can rent
CW3,Can't buy can rent
CW4,Can't buy can't rent
CW5,Can't buy can rent
CW6,Can't buy can rent
CW7,Can buy can rent
CW8,Can't buy can rent
CW9,Can buy can rent
DA1,Can't buy can rent
DA10,Can't buy can rent
DA11,Can buy can rent
DA12,Can't buy can rent
DA13,Can't buy can rent
DA14,Can't buy can rent
DA15,Can't buy can rent
DA16,Can't buy can rent
DA17,Can't buy can rent
DA18,Can buy can rent
DA2,Can't buy can rent
DA3,Can't buy can rent
DA4,Can't buy can rent
DA5,Can't buy can rent
DA6,Can't buy can rent
DA7,Can't buy can rent
DA8,Can't buy can rent
DA9,Can't buy can rent
DD1,Can buy can rent
DD10,Can buy can rent
DD11,Can buy can rent
DD2,Can buy can rent
DD3,Can buy can rent
DD4,Can buy can rent
DD5,Can buy can rent
DD6,Can buy can rent
DD7,Can buy can rent
DD8,Can buy can rent
DD9,Can buy can rent
DE1,Can buy can rent
DE11,Can buy can rent
DE12,Can't buy can rent
DE13,Can't buy can rent
DE14,Can buy can rent
DE15,Can buy can rent
DE21,Can buy can rent
DE22,Can buy can rent
DE23,Can buy can rent
DE24,Can buy can rent
DE3,Can't buy can rent
DE4,Can't buy can rent
DE45,Can't buy can rent
DE5,Can buy can rent
DE55,Can buy can rent
DE56,Can't buy can rent
DE6,Can't buy can rent
DE65,Can't buy can rent
DE7,Can buy can rent
DE72,Can't buy can rent
DE73,Can't buy can rent
DE74,Can't buy can rent
DE75,Can buy can rent
DG1,Can buy can rent
DG11,Can buy can rent
DG2,Can buy can rent
DH1,Can buy can rent
DH2,Can buy can rent
DH3,Can buy can rent
DH4,Can buy can rent
DH5,Can buy can rent
DH6,Can buy can rent
DH7,Can buy can rent
DH8,Can buy can rent
DH9,Can buy can rent
DL1,Can buy can rent
DL10,Can't buy can rent
DL11,Can't buy can rent
DL12,Can buy can rent
DL13,Can buy can rent
DL14,Can buy can rent
DL15,Can buy can rent
DL16,Can buy can rent
DL17,Can buy can rent
DL2,Can't buy can rent
DL3,Can buy can rent
DL4,Can buy can rent
DL5,Can buy can rent
DL6,Can buy can rent
DL7,Can't buy can rent
DL8,Can't buy can rent
DL9,Can buy can rent
DN1,Can buy can rent
DN10,Can't buy can rent
DN11,Can buy can rent
DN12,Can buy can rent
DN14,Can buy can rent
DN15,Can buy can rent
DN16,Can buy can rent
DN17,Can buy can rent
DN18,Can buy can rent
DN19,Can buy can rent
DN2,Can buy can rent
DN20,Can buy can rent
DN21,Can buy can rent
DN22,Can buy can rent
DN3,Can buy can rent
DN31,Can buy can rent
DN32,Can buy can rent
DN33,Can buy can rent
DN34,Can buy can rent
DN35,Can buy can rent
DN36,Can buy can rent
DN37,Can buy can rent
DN4,Can buy can rent
DN40,Can buy can rent
DN41,Can buy can rent
DN5,Can buy can rent
DN6,Can buy can rent
DN7,Can buy can rent
DN8,Can buy can rent
DN9,Can't buy can rent
DT1,Can't buy can rent
DT10,Can't buy can rent
DT11,Can't buy can rent
DT2,Can't buy can rent
DT3,Can't buy can rent
DT4,Can't buy can rent
DT5,Can buy can rent
DT6,Can't buy can rent
DT7,Can't buy can rent
DT8,Can't buy can rent
DT9,Can't buy can rent
DY1,Can buy can rent
DY10,Can buy can rent
DY11,Can buy can rent
DY12,Can't buy can rent
DY13,Can't buy can rent
DY14,Can't buy can rent
DY2,Can buy can rent
DY3,Can buy can rent
DY4,Can buy can rent
DY5,Can buy can rent
DY6,Can't buy can rent
DY7,Can't buy can rent
DY8,Can buy can rent
DY9,Can't buy can rent
E1,Can't buy can't rent
E10,Can't buy can rent
E11,Can't buy can rent
E12,Can't buy can't rent
E13,Can't buy can rent
E14,Can't buy can't rent
E15,Can't buy can't rent
E16,Can't buy can't rent
E17,Can't buy can't rent
E18,Can't buy can rent
E1W,Can't buy can't rent
E2,Can't buy can't rent
E20,Can't buy can't rent
E3,Can't buy can't rent
E4,Can't buy can rent
E5,Can't buy can't rent
E6,Can't buy can rent
E7,Can't buy can't rent
E8,Can't buy can't rent
E9,Can't buy can't rent
EC1A,Can't buy can't rent
EC1M,Can't buy can't rent
EC1N,Can't buy can't rent
EC1R,Can't buy can't rent
EC1V,Can't buy can't rent
EC1Y,Can't buy can't rent
EC2A,Can't buy can't rent
EC2Y,Can't buy can't rent
EC3R,Can't buy can't rent
EC4A,Can't buy can't rent
EC4V,Can't buy can't rent
EH1,Can't buy can't rent
EH10,Can't buy can rent
EH11,Can buy can rent
EH12,Can't buy can rent
EH13,Can buy can rent
EH14,Can buy can rent
EH15,Can buy can rent
EH16,Can buy can rent
EH17,Can't buy can rent
EH19,Can buy can rent
EH2,Can't buy can't rent
EH21,Can buy can rent
EH22,Can buy can rent
EH23,Can buy can rent
EH26,Can buy can rent
EH29,Can buy can rent
EH3,Can't buy can't rent
EH30,Can buy can rent
EH32,Can buy can rent
EH33,Can buy can rent
EH39,Can't buy can't rent
EH4,Can't buy can rent
EH41,Can't buy can rent
EH42,Can't buy can rent
EH45,Can buy can rent
EH47,Can buy can rent
EH48,Can buy can rent
EH49,Can buy can rent
EH5,Can buy can rent
EH51,Can buy can rent
EH52,Can buy can rent
EH54,Can buy can rent
EH6,Can buy can rent
EH7,Can buy can rent
EH8,Can buy can rent
EH9,Can't buy can't rent
EN1,Can't buy can rent
EN10,Can't buy can rent
EN11,Can't buy can rent
EN2,Can't buy can rent
EN3,Can't buy can rent
EN4,Can't buy can't rent
EN5,Can't buy can rent
EN6,Can't buy can't rent
EN7,Can't buy can rent
EN8,Can't buy can rent
EN9,Can't buy can rent
EX1,Can't buy can rent
EX10,Can't buy can rent
EX11,Can't buy can rent
EX12,Can't buy can rent
EX13,Can't buy can rent
EX14,Can't buy can rent
EX15,Can't buy can rent
EX16,Can't buy can rent
EX17,Can't buy can rent
EX18,Can't buy can rent
EX2,Can't buy can rent
EX20,Can't buy can rent
EX21,Can't buy can rent
EX22,Can't buy can rent
EX23,Can't buy can rent
EX3,Can't buy can rent
EX31,Can't buy can rent
EX32,Can't buy can rent
EX33,Can't buy can rent
EX34,Can't buy can rent
EX36,Can't buy can rent
EX38,Can't buy can rent
EX39,Can't buy can rent
EX4,Can't buy can rent
EX5,Can't buy can rent
EX6,Can't buy can rent
EX7,Can't buy can rent
EX8,Can't buy can rent
EX9,Can't buy can rent
FK1,Can buy can rent
FK10,Can buy can rent
FK12,Can buy can rent
FK13,Can buy can rent
FK14,Can't buy can rent
FK15,Can buy can rent
FK2,Can buy can rent
FK3,Can buy can rent
FK4,Can buy can rent
FK5,Can buy can rent
FK6,Can buy can rent
FK7,Can buy can rent
FK8,Can buy can rent
